CSV_APN,FC_APN,Year,Match_Type,APN_Changed
1318-22-312-015,1318-22-002-002,2012,intersect,True
1318-22-312-004,1318-22-002-002,2012,intersect,True
1318-22-312-007,1318-22-002-002,2012,intersect,True
1318-22-312-016,1318-22-002-002,2012,intersect,True
085-072-018,085-072-009,2012,intersect,True
028-221-030,028-221-26,2012,intersect,True
022-200-014,022-200-12,2012,intersect,True
033-561-013,033-561-05,2012,intersect,True
015-370-30,015-370-11,2012,intersect,True
025-041-023,025-041-10,2012,intersect,True
083-063-023,083-063-015,2012,intersect,True
117-100-089,117-100-015,2012,intersect,True
123-041-25,123-041-18,2012,intersect,True
090-153-012,090-153-008,2012,intersect,True
023-960-002,023-182-28,2012,intersect,True
023-960-004,023-182-28,2012,intersect,True
031-213-016,031-213-02,2012,intersect,True
1318-22-314-008,1318-22-002-002,2012,intersect,True
1318-22-315-006,1318-22-002-002,2012,intersect,True
1318-22-315-007,1318-22-002-002,2012,intersect,True
1318-22-317-004,1318-22-002-002,2012,intersect,True
1318-22-313-002,1318-22-002-002,2012,intersect,True
1318-22-314-002,1318-22-002-002,2012,intersect,True
1318-22-314-003,1318-22-002-002,2012,intersect,True
1318-22-314-006,1318-22-002-002,2012,intersect,True
1318-22-316-002,1318-22-002-002,2012,intersect,True
1318-22-316-006,1318-22-002-002,2012,intersect,True
1318-22-316-007,1318-22-002-002,2012,intersect,True
1318-22-317-002,1318-22-002-002,2012,intersect,True
1318-22-711-001,1318-22-002-002,2012,intersect,True
1318-22-711-004,1318-22-002-002,2012,intersect,True
1318-22-711-005,1318-22-002-002,2012,intersect,True
112-060-036,112-060-018,2012,intersect,True
112-060-037,112-060-018,2012,intersect,True
112-180-079,112-180-043,2012,intersect,True
016-300-059,016-300-59,2012,intersect,True
097-130-029,097-130-042,2012,intersect,True
1418-34-113-016,1418-34-101-001,2012,intersect,True
1418-34-113-015,1418-34-101-001,2012,intersect,True
1418-34-113-006,1418-34-101-001,2012,intersect,True
1319-30-515-003,1319-30-515-000,2012,intersect,True
090-072-035,090-072-026,2012,intersect,True
085-141-013,085-141-006,2012,intersect,True
117-120-041,117-120-032,2012,intersect,True
129-292-31,129-292-07,2012,intersect,True
1319-30-514-004,1319-30-514-000,2012,intersect,True
1319-30-514-007,1319-30-514-000,2012,intersect,True
1319-30-520-009,1319-30-520-031,2012,intersect,True
1319-30-520-008,1319-30-520-000,2012,intersect,True
1319-30-614-004,1319-30-614-000,2012,intersect,True
1319-30-624-003,1319-30-624-000,2012,intersect,True
1319-30-623-001,1319-30-623-000,2012,intersect,True
123-293-01,123-071-34,2012,intersect,True
123-293-04,123-071-34,2012,intersect,True
123-294-04,123-071-34,2012,intersect,True
123-295-04,123-071-34,2012,intersect,True
1318-23-315-010,1318-23-301-001,2012,intersect,True
1318-23-315-015,1318-23-301-001,2012,intersect,True
1318-23-315-021,1318-23-301-001,2012,intersect,True
1318-23-315-033,1318-23-301-001,2012,intersect,True
018-320-18,018-320-12,2012,intersect,True
029-710-004,029-441-21,2012,intersect,True
029-710-008,029-441-21,2012,intersect,True
029-710-016,029-441-15,2012,intersect,True
028-340-019,028-011-19,2012,intersect,True
028-340-022,028-011-19,2012,intersect,True
094-520-016,094-150-007,2012,intersect,True
080-162-018,080-162-17,2012,intersect,True
033-661-026,033-661-14,2012,intersect,True
115-040-081,115-040-075,2012,intersect,True
1318-22-311-010,1318-22-002-002,2012,intersect,True
1318-22-311-012,1318-22-002-002,2012,intersect,True
1318-22-311-020,1318-22-002-002,2012,intersect,True
1318-22-311-021,1318-22-002-002,2012,intersect,True
1318-22-311-016,1318-22-002-002,2012,intersect,True
1318-22-311-024,1318-22-002-002,2012,intersect,True
1318-22-312-002,1318-22-002-002,2012,intersect,True
1318-22-312-018,1318-22-002-002,2012,intersect,True
1318-22-312-005,1318-22-002-002,2012,intersect,True
117-150-042,117-150-040,2012,intersect,True
033-441-028,033-441-07,2012,intersect,True
115-030-101,115-030-016,2012,intersect,True
1318-22-315-001,1318-22-002-002,2012,intersect,True
1318-22-315-005,1318-22-002-002,2012,intersect,True
1318-22-315-008,1318-22-002-002,2012,intersect,True
1318-22-313-007,1318-22-002-002,2012,intersect,True
1318-22-711-006,1318-22-002-002,2012,intersect,True
115-040-089,115-040-079,2012,intersect,True
130-163-36,130-163-27,2012,intersect,True
112-190-040,112-190-063,2012,intersect,True
123-032-01,123-032-20,2012,intersect,True
015-264-17,015-264-25,2012,intersect,True
015-304-31,015-304-34,2012,intersect,True
036-543-11,036-472-09,2012,intersect,True
1319-30-612-004,1319-30-610-001,2012,closest_2.9m,True
1319-30-612-007,1319-30-612-000,2012,closest_3.1m,True
