APN,YL,Units_CSV,Year,APN_fixed,FC_Units,COUNTY
094-122-019,2020 Final,1.0,2020,094-122-019,,
094-300-011,2020 Final,1.0,2020,094-300-011,,
094-350-021,2020 Final,1.0,2020,094-350-021,,
095-130-007,2020 Final,5.0,2020,095-130-007,,
097-092-003,2020 Final,1.0,2020,097-092-003,,
097-122-002,2020 Final,1.0,2020,097-122-002,,
097-122-015,2020 Final,1.0,2020,097-122-015,,
097-130-029,2020 Final,1.0,2020,097-130-029,,
097-164-006,2020 Final,1.0,2020,097-164-006,,
097-192-001,2020 Final,1.0,2020,097-192-001,,
098-164-009,2020 Final,1.0,2020,098-164-009,,
112-060-017,2020 Final,2.0,2020,112-060-017,,
112-180-009,2020 Final,1.0,2020,112-180-009,,
112-190-040,2020 Final,1.0,2020,112-190-040,,
112-190-042,2020 Final,1.0,2020,112-190-042,,
115-030-035,2020 Final,1.0,2020,115-030-035,,
115-040-075,2020 Final,1.0,2020,115-040-075,,
115-050-039,2020 Final,2.0,2020,115-050-039,,
115-060-010,2020 Final,1.0,2020,115-060-010,,
115-060-018,2020 Final,1.0,2020,115-060-018,,
117-020-009,2020 Final,1.0,2020,117-020-009,,
117-071-025,2020 Final,1.0,2020,117-071-025,,
117-100-004,2020 Final,1.0,2020,117-100-004,,
117-110-008,2020 Final,1.0,2020,117-110-008,,
117-120-031,2020 Final,1.0,2020,117-120-031,,
117-180-037,2020 Final,1.0,2020,117-180-037,,
117-180-038,2020 Final,2.0,2020,117-180-038,,
122-100-04,2020 Final,1.0,2020,122-100-04,,
122-100-23,2020 Final,1.0,2020,122-100-23,,
122-100-24,2020 Final,1.0,2020,122-100-24,,
122-181-24,2020 Final,1.0,2020,122-181-24,,
122-181-37,2020 Final,1.0,2020,122-181-37,,
123-021-04,2020 Final,1.0,2020,123-021-04,,
123-032-01,2020 Final,4.0,2020,123-032-01,,
123-032-11,2020 Final,1.0,2020,123-032-11,,
123-032-12,2020 Final,1.0,2020,123-032-12,,
123-032-13,2020 Final,3.0,2020,123-032-13,,
