Lost_APN,Issue_Category,Years_Lost,Total_Units_CSV,Match_Source,Candidate_New_APN,Match_Type,Already_In_Tahoe,Action
1418-03-301-002,PARCEL_SPLIT,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",10,ACCELA,1418-03-301-013,accela_rename,NO,NEEDS_CHANGE_YEAR
1418-03-301-002,PARCEL_SPLIT,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",10,KK,1418-03-301-013,kk_rename,NO,NEEDS_CHANGE_YEAR
1418-34-211-046,PARCEL_SPLIT,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",10,KK,1418-34-211-048,kk_rename,NO,NEEDS_CHANGE_YEAR
083-032-031,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,ACCELA,083-032-040,accela_rename,NO,NEEDS_CHANGE_YEAR
083-032-031,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,KK,083-032-040,kk_rename,NO,NEEDS_CHANGE_YEAR
083-032-031,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,KK,083-032-040,kk_rename,NO,NEEDS_CHANGE_YEAR
083-032-031,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,ACCELA,083-032-040,accela_rename,NO,NEEDS_CHANGE_YEAR
083-032-031,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,KK,083-032-040,kk_rename,NO,NEEDS_CHANGE_YEAR
083-032-031,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,KK,083-032-040,kk_rename,NO,NEEDS_CHANGE_YEAR
083-032-032,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,ACCELA,083-032-039,accela_rename,NO,NEEDS_CHANGE_YEAR
083-032-032,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,KK,083-032-039,kk_rename,NO,NEEDS_CHANGE_YEAR
083-032-032,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,KK,083-032-039,kk_rename,NO,NEEDS_CHANGE_YEAR
083-032-032,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,ACCELA,083-032-039,accela_rename,NO,NEEDS_CHANGE_YEAR
083-032-032,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,KK,083-032-039,kk_rename,NO,NEEDS_CHANGE_YEAR
083-032-032,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,KK,083-032-039,kk_rename,NO,NEEDS_CHANGE_YEAR
083-033-014,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,ACCELA,083-033-016,accela_rename,NO,NEEDS_CHANGE_YEAR
083-033-014,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,KK,083-033-016,kk_rename,NO,NEEDS_CHANGE_YEAR
083-033-014,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,KK,083-033-016,kk_rename,NO,NEEDS_CHANGE_YEAR
083-033-014,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,ACCELA,083-033-016,accela_rename,NO,NEEDS_CHANGE_YEAR
