APN,ParcelTrackerNotes
1318-10-417-005,
1318-25-110-009,This parcel is part of the Edgewood Creek Estates subdivision.
1418-15-511-002,"This parcel is part of the Uppaway Planned Unit Development (PUD). It has an assigned coverage amount of 2,500 sf with an additional 383 sf of coverage to connect the building site to the road."
1418-27-403-003,
1418-34-210-011,
015-061-013,parcel split into 015-061-028 and 015-061-029
017-041-34,
025-382-14,
025-554-013,
026-111-021,
027-153-003,
027-153-007,
028-301-65,
029-010-02,"New APNs: 029-010-24, 029-010-26 and 029-010-22 (parcel -02 was split and combined with other APNs)"
029-602-13,
031-084-17,
035-301-01,
036-530-28,
080-082-018,
083-151-030,
083-201-002,
083-202-016,"Previous APN: 083-202-006 (parcel was split to form two new APN's).
NOTE: This parcel is part of a deed-restricted project area for the purposes of land coverage that includes APN's 083-202-016 and 083-202-017. All parcel area calculations, land classes designations and land coverage calculations for these two parcels is shown on 083-202-017."
083-202-017,"Previous APN: 083-202-006 (parcel was split to form two new APN's).
NOTE: This parcel is part of a deed-restricted project area for the purposes of land coverage that includes APN's 083-202-016 and 083-202-017. All parcel area calculations, land classes designations and land coverage calculations for these two parcels is shown on here."
084-151-029,Previous APN: 084-151-029 (most of parcel -004 was changed to this new APN; a portion of it was combined with 084-151-017 to form 084-151-030)
084-151-030,Previous APN's: 084-151-017 and 084-151-004 (All of parcel -017 and a portion of -004 were combined to form this new APN)
085-050-045,
090-055-012,
090-074-027,"On the 3 previous APNs the following was verified: 11,955 sf of coverage, 1 residential unit of use, 8 TAUs, 1,207 sf of residential floor area, and 2,347 sf of TAU floor area."
090-191-022,New APN: 090-191-053 (parcels 090-191-022 and 090-191-023 were merged to form a new APN).
093-042-029,
093-042-032,"Previous APN: 093-042-015 (parcel 093-042-015 was merged with a portion of the alley behind the parcel. A New APN was assigned.)

NOTE: No verifications of land class or existing coverage have been completed on this parcel.

"
093-042-037,
093-042-038,
094-102-024,
094-122-058,
094-140-067,
094-171-010,
094-171-011,
094-233-015,
094-233-016,
097-050-043,
097-100-045,
097-122-028,"Previous APN's: 097-122-002, 097-122-014 & 097-122-015 (parcels were combined to form a new APN).
New APN: 097-122-034 (a portion of APN 097-122-031 was combined with all of APN 097-122-028 to form APN 097-122-034)."
098-010-038,Previous APN's: 098-010-034 & 098-010-035 (The boundary lines of parcels 098-010-034 & -035 were drastically adjusted [see LLAD2013-0359] and formed two new APN's)
098-010-040,Previous APN's: 098-010-034 & 098-010-035 (The boundary lines of parcels 098-010-034 & -035 were drastically adjusted [see LLAD2013-0359] and formed two new APN's)
098-210-039,"Previous APN's:  098-210-007 & 098-210-008 (parcels were combined to form this new parcel)
Verified 6,369 sf total base allowable coverage (13 sf of Class 1b/Backshore; 25 sf of Class 1a; 694 sf of Class 3; 5,637 sf of Class 5) (LCAP2013-0287--NOTE: This site assessment were conducted under the previous APN's prior to their being combined to form this APN)"
112-060-018,"NOTE: This parcel has been approved for subdivision into two single-family condominiums and a common area (SUBD2020-0200). New APNs will be issued for all three parcels, but this is a deed-restricted project area for density and land coverage calculations.

NOTE: As of 1/10/2024, Placer County had still not issued new APNs for the two townhomes and the common area. alg 

"
112-180-078,
112-190-065,
112-190-066,
115-030-073,
115-040-079,"New APNs: 115-040-088 & 115-040-089 (a lot line adjustment between parcels 115-040-079 & 115-040-080 resulted in the current parcel lines and new APNs). 
Previous APNs: New APNs: 115-040-057 & 115-040-058 (a lot line adjustment between parcels 115-040-057 & 115-040-058 resulted in the current parcel lines and new APNs). "
116-220-062,
117-020-025,
117-120-041,
117-150-040,"NOTE: The 716 sf of area associated with the public easement on the parcel has been deducted from the total parcel size (41,871 sf). "
123-071-35,
125-141-30,
125-141-31,
125-142-01,
125-142-02,
125-142-03,Verified 708 sf total base allowable Class 3 coverage (374840SA revised)
125-172-33,Previous APN: 125-172-32 (boundary line adjustment with APN 125-172-34 [formerly 125-172-31])
125-172-34,Previous APN: 125-172-31 (boundary line adjustment with 125-172-33 [formerly 125-172-32])
125-232-29,
130-241-62,"Previous APN's: 130-241-43, -52 & -54 (This parcel was formed from a portion of APN 130-241-43 and all of APN's 130-241-52 & -54 [formerly APN 130-241-44])"
130-312-13,"File vboc2024-1128 verified 5,929 sq. ft. of existing coverage that will be considered onsite coverage once a portion of the ROW becomes part of parcel 130-312-13.  "
130-331-08,Previous APN: 130-331-01
1318-03-111-014,
1318-03-111-015,
1318-10-310-004,
1318-10-310-005,
1318-15-711-030,Previous APN: 1318-15-711-029
1318-15-711-031,
1318-16-810-012,"Previous APN: 005-241-26 (parcel 005-241-26 was split into 005-241-42 & 005-241-43, but -43 does not exist in the TRPA database)."
1319-19-710-001,
1319-19-710-027,
1319-30-610-003,
1418-10-702-008,"NOTE #1: APNs 1418-10-802-004, 1418-10-702-009, 1418-10-702-008, 1418-10-802-007, and 1418-10-802-010 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area. The parcel area, land capability, base allowable coverage, existing coverage, banked coverage, existing development rights, and banked development rights for all parcels in the project area have been combined and are shown on APN 1418-10-802-004.

"
1418-27-601-008,"Previous APN's: 1418-27-601-005, and prior to that, 003-060-17

NOTE: APNs 1418-27-601-007, 1418-27-601-008 & 1418-27-601-009 are part of a deed restricted project area for the purposes of land coverage calculations. The parcel area, land capability, existing & banked land coverage and existing & banked development rights for all parcels in the Project Area have been combined and are shown on APN 1418-27-601-007.

"
1418-34-401-027,
015-322-28,
016-081-42,"New APN: 016-081-46 (parcels 016-081-42 & -43 were combined and then redivided with different boundary lines).
Both parcels 016-081-42 & 016-081-43 (now APNs 016-081-46 and 016-081-45, respectively) are a deed restricted project area for the purpose of limiting shorezone development."
