APN,CY2012,CY2013,CY2014,CY2015,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,CY2022,CY2023,CY2024,CY2025
123-052-02,,,,95,,,,,,,,,,
126-280-00,21,21,21,21,21,21,21,21,21,21,21,21,21,21
127-010-09,416,416,416,416,416,416,416,416,416,416,416,416,416,416
127-030-38,16,16,16,16,16,16,16,16,16,16,16,16,16,16
127-280-02,48,48,48,48,48,48,48,48,48,48,48,48,48,48
127-510-01,60,60,60,60,60,60,60,60,60,60,60,60,60,60
130-163-31,38,38,38,38,38,38,38,38,38,38,38,38,38,38
131-200-00,93,93,93,93,93,93,93,93,93,93,93,93,93,93
1318-10-000-002,32,32,32,32,32,32,32,32,32,32,32,32,32,32
1318-10-416-062,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1318-15-816-000,110,110,110,110,110,110,110,110,110,110,110,110,110,110
1318-22-002-010,24,24,24,24,24,24,24,24,24,,,,,
1318-22-002-011,25,25,25,25,25,25,25,25,25,,,,,
1318-22-002-012,25,25,25,25,25,25,25,25,25,,,,,
1318-22-002-102,50,50,50,50,50,50,50,50,50,,,,,
1318-22-002-109,,,,,,,,,,124,,,,
1318-22-002-113,,,,,,,,,,,124,,,
1318-22-002-116,,,,,,,,,,,,124,,
1318-26-101-006,64,64,64,64,64,64,64,64,64,64,64,64,64,64
1318-27-001-007,438,438,438,438,438,438,438,438,438,,,,,
1318-27-001-009,539,539,539,539,539,539,539,539,539,539,539,539,539,539
1318-27-001-001,,,,,,,,,,,,,,
1318-27-001-016,,,,,,154,154,154,154,154,161,168,168,168
1318-27-001-021,,,,,,,,,,438,438,438,438,438
1318-27-002-001,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1318-27-002-002,740,740,740,740,740,740,740,740,740,740,740,740,740,740
1318-27-002-005,512,512,512,512,512,512,512,512,512,512,512,512,512,512
1319-19-801-002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319-30-301-003,35,35,35,35,35,35,35,35,35,35,35,35,35,35
1319-30-514-000,24,24,24,24,24,24,24,24,24,24,24,24,24,24
1319-30-542-011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319-30-616-000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319-30-629-000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319-30-639-000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319-30-710-000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319-30-720-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1418-10-802-006,6,6,6,6,6,6,6,6,6,6,6,6,6,6
117-130-014,3,3,3,3,3,3,3,3,3,3,3,3,3,0
030-363-021,,,,,,,8,8,8,8,8,8,8,8
030-363-21,8,8,8,8,8,8,,,,,,,,
090-072-006,14,14,14,14,14,14,14,14,14,14,14,14,14,14
090-073-007,6,6,6,6,6,6,6,6,6,6,6,6,6,6
098-210-023,4,4,4,4,4,4,4,4,4,4,4,4,4,4
115-030-098,2,,,2,2,2,2,2,2,2,2,2,2,2
115-030-034,,2,,,,,,,,,,,,
115-030-096,,,2,,,,,,,,,,,
117-071-028,11,11,11,11,11,11,11,11,11,11,11,11,11,11
1318-09-811-017,12,12,12,12,12,12,12,12,12,12,12,12,12,12
029-041-59,38,38,38,38,38,38,,,,,,,,
029-041-059,,,,,,,38,38,38,38,38,38,38,38
029-051-16,5,5,5,5,5,5,,,,,,,,
029-051-016,,,,,,,5,5,5,5,5,5,5,5
029-064-07,5,5,5,,,,,,,,,,,
090-074-27,8,8,8,,,,,,,,,,,
