Building_ID,APN,APN_canon,Square_Feet,Original_Year_Built,Feature,Surface,Parcel_Acres,Residential_Units,Units_Assigned,COUNTY,JURISDICTION
19308,027-156-005,027-156-005,821.09,1957,Building,Hard,0.1148714189248695,2.0,1,EL,CSLT
19309,018-191-014,018-191-014,1690.54,2001,Building,Hard,0.3250121678296862,1.0,1,EL,EL
19310,027-170-015,027-170-015,6047.13,,Building,Hard,1.4701631636993575,0.0,0,EL,CSLT
19311,027-180-021,027-180-021,701.51,,Building,Hard,0.0706820169683563,0.0,0,EL,CSLT
19312,027-111-010,027-111-010,1333.55,1947,Building,Hard,0.1909223282171026,1.0,1,EL,CSLT
19313,027-153-040,027-153-040,190.18,1965,Building,Hard,0.1154611792710502,2.0,0,EL,CSLT
19314,028-301-046,028-301-046,1207.23,1979,Building,Hard,0.045922403119968,1.0,1,EL,CSLT
19315,028-340-024,028-340-024,1508.89,1953,Building,Hard,4.9860797806285255,2.0,0,EL,CSLT
19316,027-357-001,027-357-001,1826.73,1954,Building,Hard,0.1962460959007928,1.0,1,EL,CSLT
19317,018-191-016,018-191-016,630.9,1974,Building,Hard,0.2923628007982067,1.0,0,EL,EL
19318,027-124-015,027-124-015,814.89,1938,Building,Hard,0.115241068543403,1.0,0,EL,CSLT
19319,027-114-023,027-114-023,1495.26,1976,Building,Hard,0.2661719114251688,1.0,1,EL,CSLT
19320,027-151-018,027-151-018,929.27,1957,Building,Hard,0.1141822987481252,1.0,1,EL,CSLT
19321,028-152-043,028-152-043,1949.65,1974,Building,Hard,0.3148255902838626,1.0,1,EL,CSLT
19322,028-153-012,028-153-012,2847.04,1972,Building,Hard,0.2583215268812674,1.0,1,EL,CSLT
19323,027-125-023,027-125-023,996.46,1964,Building,Hard,0.1142311354280511,2.0,2,EL,CSLT
19324,028-301-010,028-301-010,1400.26,1977,Building,Hard,0.0461884777782672,1.0,1,EL,CSLT
19325,027-352-001,027-352-001,327.98,1965,Building,Hard,0.1757313793765964,4.0,0,EL,CSLT
19326,027-125-016,027-125-016,915.61,1974,Building,Hard,0.2292764737813037,0.0,0,EL,CSLT
19327,028-262-003,028-262-003,2123.9,1972,Building,Hard,0.010643599268949,1.0,1,EL,CSLT
19328,027-154-009,027-154-009,1940.56,1964,Building,Hard,0.1148729754249595,2.0,2,EL,CSLT
19329,028-340-024,028-340-024,1546.4,1953,Building,Hard,4.9860797806285255,2.0,0,EL,CSLT
19330,027-124-007,027-124-007,1680.37,1959,Building,Hard,0.1148705182187838,1.0,1,EL,CSLT
19331,028-340-024,028-340-024,755.04,1953,Building,Hard,4.9860797806285255,2.0,0,EL,CSLT
19332,027-352-001,027-352-001,2421.12,1965,Building,Hard,0.1757313793765964,4.0,4,EL,CSLT
19333,027-114-020,027-114-020,630.9,1977,Building,Hard,0.1303478002832247,1.0,1,EL,CSLT
19334,027-124-020,027-124-020,1275.47,1975,Building,Hard,0.1152160677954117,2.0,2,EL,CSLT
19335,018-191-016,018-191-016,1460.81,1974,Building,Hard,0.2923628007982067,1.0,1,EL,EL
19336,027-151-026,027-151-026,2063.54,1962,Building,Hard,0.2302097453575373,5.0,5,EL,CSLT
19337,027-114-015,027-114-015,1451.99,1977,Building,Hard,0.2644075745257723,1.0,1,EL,CSLT
19338,028-151-001,028-151-001,1307.36,1975,Building,Hard,0.2515574345932871,1.0,1,EL,CSLT
19339,027-156-005,027-156-005,860.95,1957,Building,Hard,0.1148714189248695,2.0,1,EL,CSLT
19340,027-364-028,027-364-028,2400.63,2007,Building,Hard,0.6799033154822256,0.0,0,EL,CSLT
19341,027-153-040,027-153-040,1683.17,1965,Building,Hard,0.1154611792710502,2.0,2,EL,CSLT
19342,027-170-015,027-170-015,4236.4,,Building,Hard,1.4701631636993575,0.0,0,EL,CSLT
19343,027-124-013,027-124-013,1628.51,1958,Building,Hard,0.1152156480394195,1.0,1,EL,CSLT
19344,027-125-024,027-125-024,2643.19,1965,Building,Hard,0.1150432248378137,2.0,2,EL,CSLT
19345,027-114-002,027-114-002,802.87,1947,Building,Hard,0.1307676327397109,1.0,1,EL,CSLT
19346,027-154-021,027-154-021,499.95,1946,Building,Hard,0.1148978161290869,0.0,0,EL,CSLT
19347,028-301-028,028-301-028,1456.39,1973,Building,Hard,0.0459065843748313,1.0,1,EL,CSLT
