CSV_APN,FC_APN,Year,match,APN_changed
129-291-13,129-291-34,2024,within,True
129-291-17,129-291-35,2024,within,True
129-291-20,129-291-36,2024,within,True
129-292-01,129-292-27,2024,within,True
129-292-02,129-292-28,2024,within,True
129-292-03,129-292-29,2024,within,True
129-292-06,129-292-30,2024,within,True
129-292-07,129-292-31,2024,within,True
129-292-10,129-292-32,2024,within,True
129-292-12,129-292-33,2024,within,True
129-292-14,129-290-03,2024,within,True
129-292-17,129-292-35,2024,within,True
129-292-18,129-292-40,2024,within,True
129-292-19,129-292-39,2024,within,True
129-292-20,129-292-38,2024,within,True
129-292-22,129-292-36,2024,within,True
129-292-26,129-292-37,2024,within,True
130-163-36,130-163-27,2024,within,True
130-241-45,130-241-66,2024,within,True
130-241-46,130-241-65,2024,within,True
130-312-04,130-312-30,2024,within,True
130-312-13,130-312-31,2024,within,True
130-312-27,130-312-30,2024,within,True
130-331-05,130-331-14,2024,within,True
130-331-08,130-331-15,2024,within,True
1318-03-110-005,1318-03-110-035,2024,within,True
1318-03-111-014,1318-03-111-056,2024,within,True
1318-03-111-015,1318-03-111-057,2024,within,True
1318-09-810-035,1318-09-810-115,2024,within,True
1318-09-810-095,1318-09-810-119,2024,within,True
1318-09-810-103,1318-09-810-117,2024,within,True
1318-10-310-002,1318-10-310-096,2024,within,True
1318-10-310-004,1318-10-310-098,2024,within,True
1318-10-310-005,1318-10-310-099,2024,within,True
1318-10-310-009,1318-10-310-094,2024,within,True
1318-10-310-010,1318-10-310-091,2024,within,True
1318-10-310-012,1318-10-310-079,2024,within,True
1318-10-310-015,1318-10-310-076,2024,within,True
1318-10-310-033,1318-10-310-078,2024,within,True
1318-10-310-036,1318-10-310-078,2024,within,True
1318-10-415-062,1318-10-415-072,2024,within,True
1318-10-416-039,1318-10-416-063,2024,within,True
1318-10-417-005,1318-10-417-055,2024,within,True
1318-15-601-003,1318-15-601-005,2024,within,True
1318-16-810-012,1318-16-810-056,2024,within,True
1318-22-002-002,1318-22-316-002,2024,within,True
1318-23-212-005,1318-23-212-077,2024,within,True
1318-23-212-006,1318-23-212-078,2024,within,True
1318-23-710-003,1318-23-710-094,2024,within,True
1318-23-710-038,1318-23-710-096,2024,within,True
1318-23-710-039,1318-23-710-097,2024,within,True
1318-23-814-004,1318-23-814-008,2024,within,True
1318-24-701-008,1318-24-701-010,2024,within,True
1318-25-110-009,1318-25-110-015,2024,within,True
1318-25-110-010,1318-25-110-016,2024,within,True
1318-26-101-029,1318-26-101-090,2024,within,True
1318-26-601-006,1318-26-601-008,2024,within,True
1318-27-001-002,1318-27-001-015,2024,within,True
1318-27-001-003,1318-27-001-015,2024,within,True
1319-19-212-078,1319-19-212-095,2024,within,True
1319-19-411-016,1319-19-411-030,2024,within,True
1319-19-411-024,1319-19-411-030,2024,within,True
1319-19-710-027,1319-19-710-051,2024,within,True
1319-19-710-031,1319-19-710-048,2024,within,True
1319-19-710-032,1319-19-710-049,2024,within,True
1418-03-301-002,1418-03-301-013,2024,within,True
1418-10-501-001,1418-10-501-013,2024,within,True
1418-10-702-006,1418-10-702-009,2024,within,True
1418-10-702-007,1418-10-702-010,2024,within,True
1418-10-802-008,1418-10-802-012,2024,within,True
1418-11-311-004,1418-11-311-015,2024,within,True
1418-15-201-001,1418-15-201-005,2024,within,True
1418-15-201-003,1418-15-201-006,2024,within,True
1418-15-511-002,1418-15-511-027,2024,within,True
1418-15-601-001,1418-15-601-003,2024,within,True
1418-15-801-005,1418-15-801-010,2024,within,True
1418-22-611-027,1418-22-611-028,2024,within,True
1418-27-210-015,1418-27-210-034,2024,within,True
1418-27-210-029,1418-27-210-036,2024,within,True
1418-27-403-003,1418-27-403-005,2024,within,True
1418-34-101-001,1418-34-113-002,2024,within,True
1418-34-110-003,1418-34-110-002,2024,within,True
1418-34-110-010,1418-34-110-009,2024,within,True
1418-34-110-020,1418-34-110-062,2024,within,True
1418-34-110-024,1418-34-110-065,2024,within,True
1418-34-110-039,1418-34-110-060,2024,within,True
1418-34-201-001,1418-34-201-010,2024,within,True
1418-34-201-004,1418-34-201-007,2024,within,True
1418-34-201-005,1418-34-201-008,2024,within,True
1418-34-201-006,1418-34-201-009,2024,within,True
1418-34-210-007,1418-34-210-032,2024,within,True
1418-34-210-011,1418-34-210-033,2024,within,True
1418-34-211-026,1418-34-211-047,2024,within,True
1418-34-211-046,1418-34-211-048,2024,within,True
1418-34-401-009,1418-34-401-029,2024,within,True
1418-34-401-010,1418-34-401-029,2024,within,True
1418-34-401-011,1418-34-401-028,2024,within,True
015-061-013,015-061-029,2025,within,True
015-301-002,015-301-035,2025,within,True
015-301-003,015-301-036,2025,within,True
015-370-011,015-370-030,2025,within,True
015-370-023,015-370-028,2025,within,True
016-101-014,016-101-095,2025,within,True
022-344-012,022-344-028,2025,within,True
025-554-013,025-554-014,2025,within,True
025-735-006,025-735-012,2025,within,True
025-744-011,025-744-022,2025,within,True
025-754-002,025-754-008,2025,within,True
026-031-013,026-031-019,2025,within,True
026-105-006,026-105-023,2025,within,True
026-111-021,026-111-025,2025,within,True
026-122-031,026-122-036,2025,within,True
026-122-033,026-122-036,2025,within,True
026-300-001,026-310-003,2025,within,True
027-122-004,027-122-025,2025,within,True
027-143-013,027-143-027,2025,within,True
027-143-022,027-143-027,2025,within,True
027-153-003,027-153-037,2025,within,True
027-153-007,027-153-040,2025,within,True
027-313-013,027-313-017,2025,within,True
029-095-030,029-095-033,2025,within,True
029-391-033,029-391-043,2025,within,True
030-352-027,030-352-034,2025,within,True
031-043-005,031-043-014,2025,within,True
031-103-027,031-103-030,2025,within,True
031-201-011,031-201-020,2025,closest_7.6m,True
031-207-005,031-207-026,2025,within,True
031-207-006,031-207-025,2025,within,True
033-703-014,033-703-020,2025,within,True
033-841-031,033-841-057,2025,within,True
033-841-033,033-841-058,2025,within,True
034-241-002,034-241-007,2025,within,True
035-283-018,035-283-038,2025,within,True
035-283-022,035-283-037,2025,within,True
035-291-005,035-291-013,2025,within,True
036-423-018,036-423-020,2025,within,True
036-563-014,036-563-016,2025,within,True
080-082-018,080-082-023,2025,within,True
080-162-017,080-162-018,2025,within,True
080-173-013,080-173-014,2025,within,True
080-192-033,080-192-034,2025,within,True
083-032-031,083-032-040,2025,within,True
083-032-032,083-032-039,2025,within,True
083-033-014,083-033-016,2025,within,True
083-061-026,083-061-082,2025,within,True
083-062-038,083-062-051,2025,within,True
083-063-007,083-063-023,2025,within,True
083-074-003,083-074-019,2025,within,True
083-201-002,083-201-005,2025,within,True
083-202-012,083-202-018,2025,within,True
083-390-023,083-390-050,2025,within,True
084-052-010,084-052-013,2025,within,True
084-092-009,084-092-042,2025,within,True
084-092-016,084-092-043,2025,within,True
084-110-011,084-110-026,2025,within,True
084-110-014,084-110-020,2025,within,True
084-110-017,084-110-027,2025,within,True
084-172-005,084-172-007,2025,within,True
