"Pool","Development Right","Jurisdiction","Balance Remaining","# of Trans","Comments","Active?"
"Residential Bonus Unit (RBU) - Incline Village Com. Community Plan (inactive)","Residential Bonus Unit (RBU)","Washoe County, NV (WACO)","0","0","Must be used for Affordable for now (Moderate/Achievable/Market only after those run out and only if there are enough Affordable left in the pools).

The 14 units that were in this pool were moved to the Tahoe Area Plan residential bonus unit pool once that area plan was adopted and this pool was made inactive. The bonus units that were in this pool were what was remaining as of 5/2011; 20 from 2001 Threshold Amendments less 6.","No"
"Residential Bonus Unit (RBU) - Incline Village Tourist Community Plan (inactive)","Residential Bonus Unit (RBU)","Washoe County, NV (WACO)","0","0","Must be used for Affordable for now (Moderate/Achievable/Market only after those run out and only if there are enough Affordable left in the pools).

The 19 units that were in this pool were moved to the Tahoe Area Plan residential bonus unit pool once that area plan was adopted and this pool was made inactive. The bonus units that were in this pool were what was remaining as of 5/2011; 110 from 2001 Threshold Amendments less 91.","No"
"Residential Bonus Unit (RBU) - North Tahoe East Mixed Use Subdistrict","Residential Bonus Unit (RBU)","Placer County, CA (PLCO)","13","0","Formerly called the ""CA North State Community Plan""; changed in 2018 to align with the new Placer County Area Plan. Must be used for Affordable for now (Moderate/Achievable/Market only after those run out and only if there are enough Affordable left in the pools).","Yes"
"Residential Bonus Unit (RBU) - North Tahoe West Mixed Use Subdistrict","Residential Bonus Unit (RBU)","Placer County, CA (PLCO)","16","1","Formerly the Tahoe Vista Community Plan pool; pool was changed in 2018 to reflect the Placer County Tahoe Basin Area Plan. Must be used for Affordable for now (Moderate/Achievable/Market only after those run out and only if there are enough Affordable left in the pools)","Yes"
"Residential Bonus Unit (RBU) - NV North Stateline Community Plan (inactive)","Residential Bonus Unit (RBU)","Washoe County, NV (WACO)","0","0","Per NV North Stateline Community Plan. Must be used for Affordable for now (Moderate/Achievable/Market only after those run out and only if there are enough Affordable left in the pools).

The 37 units that were in this pool were moved to the Tahoe Area Plan residential bonus unit pool once that area plan was adopted and this pool was made inactive. The bonus units that were in this pool were what was remaining as of RPU FEIS.","No"
"Residential Bonus Unit (RBU) - Placer County General","Residential Bonus Unit (RBU)","Placer County, CA (PLCO)","0","0","This pool was created due to the adoption of the Placer County Area Plan   which replaced all community plans and plan area statements within Placer County.","Yes"
"Residential Bonus Unit (RBU) - Ponderosa Ranch Community Plan (inactive)","Residential Bonus Unit (RBU)","Washoe County, NV (WACO)","0","0","Must be used for Affordable for now (Moderate/Achievable/Market only after those run out and only if there are enough Affordable left in the pools).

The 50 units that were in this pool were moved to the Tahoe Area Plan residential bonus unit pool once that area plan was adopted and this pool was made inactive. The bonus units that were in this pool were what was remaining as of 5/2011; distributed by 2001 Threshold Amendments Ordinance 2002-7.","No"
"Residential Bonus Unit (RBU) - South Shore Area Plan - DG","Residential Bonus Unit (RBU)","Douglas County, NV (DGCO)","67","0","Formerly Kingsbury Community Plan. Must be used for Affordable for now (Moderate/Achievable/Market only after those run out and only if there are enough Affordable left in the pools)","Yes"
"Residential Bonus Unit (RBU) - Tahoe Area Plan - WA CO","Residential Bonus Unit (RBU)","Washoe County, NV (WACO)","116","2","This plan was adopted by the TRPA Governing Board in May 2021 and replaces all community plans and plan area statements in Washoe County.","Yes"
"Residential Bonus Unit (RBU) - Tourist Core Area Plan","Residential Bonus Unit (RBU)","City of South Lake Tahoe (CSLT)","14","1","This pool was formerly called the ""Stateline/Ski Run Community Plan"" and was changed upon adoption of the Tourist Core Area Plan which replaced the community plan. Must be used for Affordable for now (Moderate/Achievable/Market only after those run out and only if there are enough Affordable left in the pools)","Yes"
"Residential Bonus Unit (RBU) - TRPA Bonus Unit Pool - Affordable","Residential Bonus Unit (RBU)","Tahoe Regional Planning Agency (TRPA)","46","11","Must be used for affordable. Note that the units reserved for Homewood and Boulder Bay carry over from the CEP project pool which was retired. There are transactions from this pool to hold these units.

December 2023: 8 units that were reserved for the Aspens Phase 2 project, were returned to the Affordable pool. The units were already taken from the TRPA pool before the RPU and were never returned, so this reservation was duplicate. 
","Yes"
"Residential Bonus Unit (RBU) - TRPA Bonus Unit Pool - Moderate/Achievable","Residential Bonus Unit (RBU)","Tahoe Regional Planning Agency (TRPA)","75","39","Must be used for moderate/achievable.","Yes"
