Row Labels,CY2012,CY2013,CY2014,CY2015,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,CY2022,CY2023,CY2024,CY2025
023-522-12,5639,5639,5639,5639,5639,5639,,,,,,,,
023-522-14,1258,1258,1258,1258,1258,1258,,,,,,,,
023-523-005,,,,,,,1272,1272,1272,1272,1272,1272,1272,1272
023-523-008,,,,,,,6819,6819,6819,6819,6819,6819,6819,6819
023-523-011,,,,,,,2424,2424,2424,2424,2424,2424,2424,2424
023-523-013,,,,,,,1911,1911,1911,1911,1911,1911,1911,
023-523-05,1272,1272,1272,1272,1272,1272,,,,,,,,
023-523-08,6819,6819,6819,6819,6819,6819,,,,,,,,
023-523-11,2424,2424,2424,2424,2424,2424,,,,,,,,
023-523-13,1911,1911,1911,1911,1911,1911,,,,,,,,
023-553-002,,,,,,,424,424,424,424,424,424,424,424
023-553-02,424,424,424,424,424,424,,,,,,,,
023-683-006,,,,,,,2524,2524,2524,2524,2524,2524,2524,2524
023-683-010,,,,,,,7726,7726,7726,7726,7726,7726,7726,7726
023-683-06,2524,2524,2524,2524,2524,2524,,,,,,,,
023-683-10,7726,7726,7726,7726,7726,7726,,,,,,,,
023-684-013,,,,,,,5759,5759,5759,5759,5759,5759,5759,5759
023-684-13,5759,5759,5759,5759,5759,5759,,,,,,,,
025-010-023,,,,,,,21815,21815,21815,21815,21815,21815,21815,21815
025-010-031,,,,,,,76949,76949,76949,76949,76949,76949,76949,76949
025-010-043,,,,,,,5249,5249,5249,5249,5249,5249,5249,5249
025-010-045,,,,,,,4453,4453,4453,4453,4453,4453,4453,4453
025-010-047,,,,,,,5444,5444,5444,5444,5444,5444,5444,5444
025-010-23,21815,21815,21815,21815,21815,21815,,,,,,,,
025-010-31,76949,76949,76949,76949,76949,76949,,,,,,,,
025-010-43,5249,5249,5249,5249,5249,5249,,,,,,,,
025-010-45,4453,4453,4453,4453,4453,4453,,,,,,,,
025-010-47,5444,5444,5444,5444,5444,5444,,,,,,,,
026-075-019,,,,,,,3300,3300,3300,0,0,0,0,0
026-075-19,4518,4518,4518,4518,3718,3300,,,,,,,,
026-078-017,,,,,,,14219,14219,14219,14219,14219,14219,14219,14219
026-078-17,14219,14219,14219,14219,14219,14219,,,,,,,,
026-083-005,,,,,,,635,635,635,635,635,635,635,635
026-083-010,,,,,,,89,89,89,89,89,89,89,89
026-083-05,635,635,635,635,635,635,,,,,,,,
026-083-10,89,89,89,89,89,89,,,,,,,,
026-086-006,,,,,,,12211,12211,12211,12211,12211,12211,12211,12211
026-086-011,,,,,,,8950,8950,8950,8950,8950,8950,8950,8950
026-086-013,,,,,,,5651,5651,5651,5651,5651,5651,5651,5651
026-086-06,12211,12211,12211,12211,12211,12211,,,,,,,,
026-086-11,8950,8950,8950,8950,8950,8950,,,,,,,,
026-086-13,5651,,,5651,5651,5651,,,,,,,,
026-086-08,,5651,5651,,,,,,,,,,,
026-088-022,,,,,,,1795,1795,1795,1795,1795,1795,1795,1795
026-088-22,1795,1795,1795,1795,1795,1795,,,,,,,,
026-089-009,,,,,,,8754,8754,8754,8754,8754,8754,8754,8754
026-089-010,,,,,,,19016,19016,17616,17616,17616,17616,17616,17616
026-089-09,8754,8754,8754,8754,8754,8754,,,,,,,,
026-089-10,19016,19016,19016,19016,19016,19016,,,,,,,,
026-113-014,,,,,,,12582,12582,12582,12582,12582,12582,12582,12582
026-113-14,12582,12582,12582,12582,12582,12582,,,,,,,,
026-114-022,,,,,,,1295,1295,1295,1295,1295,1295,1295,1295
026-114-026,,,,,,,17141,17141,17141,17141,17141,17141,17141,17141
026-114-027,,,,,,,1305,1305,1305,1305,1305,1305,1305,1305
026-114-22,1295,1295,1295,1295,1295,1295,,,,,,,,
026-114-26,17141,17141,17141,17141,17141,17141,,,,,,,,
026-114-27,1305,1305,1305,1305,1305,1305,,,,,,,,
026-221-022,,,,,,,1010,1010,1010,1010,1010,1010,1010,1010
026-221-027,,,,,,,4797,4797,4797,4797,4797,4797,4797,4797
026-221-038,,,,,,,857,857,857,857,857,857,857,857
026-221-053,,,,,,,6956,6956,6956,6956,6956,6956,6956,6956
026-221-22,1010,1010,1010,1010,1010,1010,,,,,,,,
026-221-27,4797,4797,4797,4797,4797,4797,,,,,,,,
026-221-38,857,857,857,857,857,857,,,,,,,,
026-221-53,6956,6956,6956,6956,6956,6956,,,,,,,,
026-231-011,,,,,,,34767,34767,34767,34767,34767,34767,34767,34767
026-231-013,,,,,,,983,983,983,983,983,983,983,983
026-231-017,,,,,,,827,827,827,827,827,827,827,827
026-231-11,34767,34767,34767,34767,34767,34767,,,,,,,,
026-231-13,983,983,983,983,983,983,,,,,,,,
026-231-17,827,827,827,827,827,827,,,,,,,,
027-010-002,,,,,,,176,176,176,176,176,176,176,176
027-010-013,,,,,,,4577,4577,4577,4577,4577,4577,4577,4577
027-010-02,176,176,176,176,176,176,,,,,,,,
027-010-030,,,,,,,,,,,168,168,168,168
027-010-13,4577,4577,4577,4577,4577,4577,,,,,,,,
027-020-009,,,,,,,5790,5790,5790,5790,5790,5790,5790,5790
027-020-015,,,,,,,30075,30075,30075,30075,30075,30075,30075,30075
027-020-09,5790,5790,5790,5790,5790,5790,,,,,,,,
027-020-15,30075,30075,30075,30075,30075,30075,,,,,,,,
027-040-044,,,,,,,29850,29850,29850,29850,29850,29850,29850,29850
027-040-07,6272,6272,6272,6272,6272,0,,,,,,,,
027-071-030,,,,,,,10465,10465,10465,10465,10465,10465,10465,10465
027-071-031,,,,,,,19941,19941,19941,19941,19941,19941,19941,19941
027-071-30,10465,10465,10465,10465,10465,10465,,,,,,,,
027-071-31,19941,19941,19941,19941,19941,19941,,,,,,,,
027-072-023,,,,,,,2165,2165,2165,2165,2165,2165,2165,2165
027-072-033,,,,,,,3974,3974,3974,3974,3974,3974,3974,3974
027-072-23,3974,3974,3974,3974,3974,3974,,,,,,,,
027-072-33,2814,2814,2814,2814,2814,2814,,,,,,,,
027-083-008,,,,,,,2640,2640,2640,2640,2640,2640,2640,2640
027-083-08,2640,2640,2640,2640,2640,2640,,,,,,,,
027-090-006,,,,,,,10409,10409,10409,10409,10409,10409,10409,10409
027-090-011,,,,,,,1068,1068,1068,1068,1068,1068,1068,1068
027-090-016,,,,,,,19839,19839,19839,19839,19839,19839,19839,19839
027-090-020,,,,,,,1780,1780,1780,1780,1780,1780,1780,1780
027-090-022,,,,,,,13213,13213,13213,13213,13213,13213,13213,13213
027-090-023,,,,,,,699,699,699,699,699,699,699,699
